epoch,coarse_loss,coarse_psnr,coarse_ssim,fine_loss,fine_psnr,fine_ssim,val_coarse_loss,val_coarse_psnr,val_coarse_ssim,val_fine_loss,val_fine_psnr,val_fine_ssim
50,0.01559928897768259,18.114940643310547,0.6045198440551758,0.015413790009915829,18.167213439941406,0.6058273315429688,0.015595312230288982,18.113004684448242,0.6019625663757324,0.015328203327953815,18.186721801757812,0.6048673987388611
55,0.014966997317969799,18.29140853881836,0.615375280380249,0.014612117782235146,18.391630172729492,0.6193273663520813,0.015014090575277805,18.274158477783203,0.6128596663475037,0.014606918208301067,18.388425827026367,0.6186095476150513
60,0.014389817602932453,18.459606170654297,0.6254705786705017,0.013930678367614746,18.594863891601562,0.6313716769218445,0.01447212789207697,18.431251525878906,0.6229935884475708,0.013977210968732834,18.576204299926758,0.6314939856529236
65,0.013831977732479572,18.62912940979004,0.6352671384811401,0.013323057442903519,18.7861328125,0.6423535943031311,0.013950021006166935,18.589061737060547,0.6327239871025085,0.013409481383860111,18.754499435424805,0.6429509520530701
70,0.013277373276650906,18.80508804321289,0.6450960040092468,0.012767070904374123,18.96991729736328,0.6527388691902161,0.013435516506433487,18.751218795776367,0.6427856683731079,0.012890378013253212,18.925064086914062,0.6532360315322876
75,0.012735377997159958,18.984943389892578,0.6550704836845398,0.012260431423783302,19.144914627075195,0.6627441644668579,0.01293460838496685,18.91564178466797,0.6531484723091125,0.012411129660904408,19.089332580566406,0.6632682085037231
80,0.012224302627146244,19.162086486816406,0.6648696660995483,0.011816543526947498,19.304750442504883,0.6717787981033325,0.01245785504579544,19.07815933227539,0.6631532311439514,0.011979242786765099,19.243587493896484,0.672553539276123
85,0.011748782359063625,19.333984375,0.6743068695068359,0.011428751051425934,19.44977378845215,0.6801429986953735,0.012002119794487953,19.2394962310791,0.6728243231773376,0.011608446016907692,19.381019592285156,0.6806291341781616
90,0.011311558075249195,19.498546600341797,0.6830659508705139,0.011088205501437187,19.581960678100586,0.6874425411224365,0.01156712882220745,19.399192810058594,0.6816290020942688,0.011276510544121265,19.508132934570312,0.6877151727676392
95,0.010912138037383556,19.654621124267578,0.6911517977714539,0.010787899605929852,19.7022762298584,0.6940175890922546,0.01115665677934885,19.555801391601562,0.6896916031837463,0.010988579131662846,19.621850967407227,0.6938506364822388
100,0.010549882426857948,19.80123519897461,0.6985111832618713,0.010516205802559853,19.814098358154297,0.6999765634536743,0.010779283940792084,19.705039978027344,0.6970381140708923,0.010712133720517159,19.733505249023438,0.6998313069343567
105,0.010223787277936935,19.9377384185791,0.7052875757217407,0.010269355028867722,19.9183292388916,0.7055643200874329,0.010441520251333714,19.843395233154297,0.703766405582428,0.010476307943463326,19.831209182739258,0.7052422165870667
110,0.009930433705449104,20.064538955688477,0.7114284038543701,0.010036320425570011,20.019203186035156,0.710944414138794,0.010131129063665867,19.974815368652344,0.7097726464271545,0.01025393046438694,19.925525665283203,0.7104920148849487
115,0.009663506411015987,20.183320999145508,0.7170599102973938,0.009827613830566406,20.11162757873535,0.7157443165779114,0.009846512228250504,20.098909378051758,0.7152855396270752,0.010043430142104626,20.016742706298828,0.7149950265884399
120,0.009394705295562744,20.306364059448242,0.7231627106666565,0.009640216827392578,20.19650650024414,0.7201073169708252,0.009564727544784546,20.225547790527344,0.7213606238365173,0.009849254041910172,20.102428436279297,0.7192063927650452
125,0.009166735224425793,20.41394805908203,0.7286785244941711,0.009464923292398453,20.276880264282227,0.7242131233215332,0.009325751103460789,20.336210250854492,0.7266902923583984,0.009674928151071072,20.18099594116211,0.723137617111206
130,0.008965778164565563,20.511232376098633,0.733482837677002,0.009301204234361649,20.35324478149414,0.7280867099761963,0.009115854278206825,20.435876846313477,0.7313507199287415,0.009501256980001926,20.260469436645508,0.7268142700195312
135,0.008782541379332542,20.602069854736328,0.7378687262535095,0.00914742797613144,20.426488876342773,0.7318360805511475,0.008922173641622066,20.530183792114258,0.7355405688285828,0.009353836998343468,20.32936668395996,0.7304132580757141
140,0.008614893071353436,20.68700408935547,0.7419081926345825,0.009002064354717731,20.4965877532959,0.735420286655426,0.008750604465603828,20.61542510986328,0.7394638061523438,0.00921109039336443,20.397180557250977,0.7335598468780518
